timestamp,phase,temp_c,rh,THI_raw,THI,density_p_m2,speed_mps,speed_var,push_rate,shout_rate,near_falls,CAI,CDI,TI,EI,ATI,SNI,PCI,BI,Risk,Alert
2025-01-17 07:22:36,morning_rush,39.37,33.2,30.23,0.823,0.1,0.87,0.293,8.18,23.94,1.9,0.688,0.239,0.7,0.45,0.423,0.946,0.44,0.688,0.827,red
2025-01-17 07:22:39,normal,32.27,43.3,26.73,0.473,2.6,0.68,0.094,2.55,5.35,2.06,0.379,0.413,0.7,0.15,0.565,0.345,0.741,0.49,0.495,yellow
2025-01-17 07:22:42,normal,32.53,29.6,25.56,0.356,2.61,0.95,0.119,2.66,0.5,1.0,0.279,0.384,0.7,0.15,0.569,0.633,0.655,0.618,0.688,orange
2025-01-17 07:22:45,morning_rush,21.44,82.4,20.77,0.0,2.55,0.43,0.249,6.28,9.57,7.94,0.765,0.542,0.7,0.45,0.655,0.759,0.386,0.653,0.195,green
2025-01-17 07:22:48,morning_rush,36.56,34.7,28.64,0.664,4.49,0.52,0.244,3.82,3.23,4.52,0.566,0.717,0.7,0.45,0.593,0.947,0.499,0.751,0.109,green
2025-01-17 07:22:51,morning_rush,23.4,73.2,22.09,0.009,2.7,0.55,0.148,14.67,16.43,0.0,0.787,0.479,0.7,0.45,0.741,0.81,0.299,0.687,0.543,yellow
2025-01-17 07:22:54,normal,33.81,36.7,27.09,0.509,0.46,0.85,0.111,5.98,5.36,1.13,0.371,0.159,0.7,0.15,0.186,0.366,0.452,0.329,0.446,yellow
2025-01-17 07:22:57,normal,41.97,29.0,31.25,0.925,1.56,0.56,0.131,1.5,7.23,1.24,0.278,0.331,0.7,0.15,0.439,0.326,0.414,0.377,0.351,green
2025-01-17 07:23:00,morning_rush,21.42,63.5,20.03,0.0,3.12,0.34,0.078,11.6,12.48,2.85,0.838,0.521,0.7,0.45,0.699,0.614,0.21,0.559,0.559,yellow
2025-01-17 07:23:03,morning_rush,36.17,37.0,28.66,0.666,1.98,0.05,0.07,2.4,0.0,2.38,0.266,0.431,0.7,0.45,0.664,0.697,0.214,0.591,0.109,green
2025-01-17 07:23:06,normal,40.98,46.2,33.15,1.0,2.33,0.65,0.095,1.0,6.47,1.2,0.292,0.387,0.7,0.15,0.502,0.294,0.531,0.404,0.333,green
2025-01-17 07:23:09,normal,33.66,49.0,28.29,0.629,1.38,1.28,0.112,3.51,12.59,0.25,0.398,0.189,0.7,0.15,0.676,0.834,0.704,0.761,0.65,orange
2025-01-17 07:23:12,normal,36.31,37.0,28.76,0.676,2.45,0.43,0.102,3.94,7.24,2.02,0.453,0.442,0.7,0.15,0.698,0.535,0.371,0.551,0.716,orange
2025-01-17 07:23:15,normal,48.93,27.2,35.16,1.0,2.78,1.15,0.119,1.91,0.0,1.38,0.263,0.37,0.7,0.15,0.42,0.841,0.418,0.63,0.164,green
2025-01-17 07:23:18,morning_rush,33.11,41.3,27.11,0.511,3.57,0.06,0.103,7.87,1.82,5.41,0.695,0.632,0.7,0.45,0.482,0.736,0.275,0.568,0.255,green
2025-01-17 07:23:21,normal,25.33,43.2,21.94,0.0,1.09,0.92,0.077,1.95,6.62,0.21,0.227,0.18,0.7,0.15,0.218,0.556,0.601,0.463,0.708,orange
2025-01-17 07:23:24,normal,34.19,28.2,26.41,0.441,0.71,0.35,0.115,1.9,2.51,0.9,0.167,0.264,0.7,0.15,0.195,0.368,0.591,0.36,0.661,orange
2025-01-17 07:23:27,normal,30.52,47.3,25.88,0.388,1.86,1.04,0.137,2.6,4.35,0.56,0.277,0.291,0.7,0.15,0.328,0.677,0.128,0.462,0.329,green
2025-01-17 07:23:30,normal,32.78,34.8,26.23,0.423,0.96,0.36,0.135,2.07,4.46,2.05,0.247,0.293,0.7,0.15,0.244,0.524,0.752,0.485,0.486,yellow
2025-01-17 07:23:33,normal,31.98,40.0,26.21,0.421,0.92,0.85,0.124,2.87,4.57,0.58,0.235,0.202,0.7,0.15,0.072,0.356,0.458,0.291,0.527,yellow
2025-01-17 07:23:36,normal,43.44,25.0,31.51,0.951,2.15,0.63,0.041,0.82,6.06,1.74,0.285,0.338,0.7,0.15,0.737,0.722,0.664,0.715,0.167,green
2025-01-17 07:23:39,normal,40.11,51.4,33.26,1.0,2.12,0.55,0.101,2.6,4.95,1.65,0.335,0.383,0.7,0.15,0.644,0.485,0.486,0.533,0.196,green
2025-01-17 07:23:42,normal,29.81,44.0,25.1,0.31,2.24,1.13,0.119,2.69,0.25,1.41,0.267,0.31,0.7,0.15,0.964,0.588,0.703,0.724,0.103,green
2025-01-17 07:23:45,morning_rush,34.49,37.4,27.61,0.561,1.74,0.28,0.175,8.05,22.02,7.01,0.916,0.426,0.7,0.45,0.696,0.961,0.541,0.798,0.565,yellow
2025-01-17 07:23:48,morning_rush,29.2,53.4,25.43,0.343,2.45,0.32,0.145,8.61,19.98,5.59,0.938,0.486,0.7,0.45,0.938,1.0,0.279,0.837,0.82,red
2025-01-17 07:23:51,normal,34.07,43.4,27.98,0.598,1.2,0.26,0.178,1.11,6.49,0.69,0.212,0.363,0.7,0.15,0.391,0.707,0.652,0.601,0.875,red
2025-01-17 07:23:54,normal,27.07,45.1,23.28,0.128,1.12,1.01,0.203,0.49,4.3,1.25,0.167,0.243,0.7,0.15,0.102,0.366,0.415,0.297,0.352,green
2025-01-17 07:23:57,normal,23.85,65.8,22.09,0.009,0.92,0.39,0.063,2.31,6.3,2.59,0.299,0.241,0.7,0.15,0.321,0.007,0.354,0.171,0.139,green
2025-01-17 07:24:00,normal,42.18,37.2,32.62,1.0,0.53,0.57,0.088,2.31,10.43,1.91,0.326,0.197,0.7,0.15,0.698,0.632,0.904,0.706,0.534,yellow
2025-01-17 07:24:03,normal,29.61,40.1,24.63,0.263,1.44,0.74,0.093,0.01,3.39,0.76,0.139,0.263,0.7,0.15,0.336,0.487,0.285,0.401,0.244,green
2025-01-17 07:24:06,normal,25.0,48.6,22.03,0.003,1.71,0.87,0.059,0.0,1.06,1.18,0.133,0.254,0.7,0.15,0.628,0.639,0.512,0.61,0.72,orange
2025-01-17 07:24:09,morning_rush,41.37,40.7,32.6,1.0,3.14,1.13,0.153,2.51,10.49,7.44,0.648,0.437,0.7,0.45,0.86,0.733,0.236,0.671,0.245,green
2025-01-17 07:24:12,morning_rush,35.83,61.5,31.31,0.931,5.0,1.25,0.234,2.06,16.44,4.87,0.725,0.64,0.7,0.45,0.426,1.0,0.51,0.73,0.828,red
2025-01-17 07:24:15,normal,27.59,66.6,25.18,0.318,2.17,0.42,0.128,3.16,1.15,0.8,0.277,0.425,0.7,0.15,0.431,0.436,0.44,0.435,0.912,red
2025-01-17 07:24:18,morning_rush,39.18,39.2,30.92,0.892,3.94,0.88,0.167,4.65,18.05,5.04,0.813,0.565,0.7,0.45,0.881,0.864,0.389,0.774,0.84,red
2025-01-17 07:24:21,morning_rush,30.14,42.5,25.19,0.319,0.83,0.18,0.295,11.7,22.52,4.55,0.868,0.41,0.7,0.45,0.855,0.783,0.025,0.653,0.37,green
2025-01-17 07:24:24,normal,19.67,57.4,18.46,0.0,0.18,0.16,0.158,2.35,5.37,2.41,0.254,0.282,0.7,0.15,0.334,0.578,0.087,0.407,0.274,green
2025-01-17 07:24:27,morning_rush,33.36,41.7,27.31,0.531,2.16,0.38,0.217,8.71,10.8,3.85,0.735,0.486,0.7,0.45,0.52,0.803,0.268,0.611,0.49,yellow
2025-01-17 07:24:30,morning_rush,35.56,34.5,27.97,0.597,1.05,0.08,0.04,4.87,15.26,8.72,0.726,0.291,0.7,0.45,0.444,0.653,0.013,0.462,0.177,green
2025-01-17 07:24:33,normal,23.29,57.9,21.26,0.0,1.86,0.53,0.01,1.71,2.6,0.52,0.214,0.299,0.7,0.15,0.201,0.31,0.463,0.308,0.632,orange
2025-01-17 07:24:36,normal,27.85,51.6,24.29,0.229,1.38,1.22,0.059,3.51,4.78,1.16,0.308,0.157,0.7,0.15,0.395,0.055,0.707,0.287,0.545,yellow
2025-01-17 07:24:39,normal,34.46,57.7,29.82,0.782,2.14,0.68,0.133,3.52,4.47,2.09,0.378,0.383,0.7,0.15,0.61,0.465,0.212,0.458,0.327,green
2025-01-17 07:24:42,normal,27.76,54.7,24.45,0.245,2.17,1.37,0.159,4.85,2.92,0.53,0.364,0.315,0.7,0.15,0.569,0.773,0.412,0.639,0.085,green
2025-01-17 07:24:45,normal,36.76,53.8,31.1,0.91,1.87,0.91,0.109,0.0,8.17,0.26,0.222,0.297,0.7,0.15,0.567,0.447,0.469,0.488,0.55,yellow
2025-01-17 07:24:48,normal,18.17,67.0,17.5,0.0,2.36,0.86,0.158,1.3,5.5,1.01,0.286,0.393,0.7,0.15,0.5,0.567,0.579,0.549,0.815,red
2025-01-17 07:24:51,normal,37.0,22.4,27.4,0.54,1.31,0.65,0.033,2.57,8.61,1.31,0.328,0.226,0.7,0.15,0.342,0.608,0.43,0.493,0.477,yellow
2025-01-17 07:24:54,morning_rush,35.86,41.0,28.93,0.693,1.88,0.05,0.3,13.06,23.66,5.04,0.944,0.557,0.7,0.45,0.37,0.805,0.311,0.575,0.139,green
2025-01-17 07:24:57,normal,28.15,36.7,23.4,0.14,1.13,0.83,0.161,1.9,0.0,0.0,0.122,0.25,0.7,0.15,0.269,0.403,0.348,0.352,0.332,green
2025-01-17 07:25:00,morning_rush,32.54,32.2,25.81,0.381,2.5,0.42,0.106,12.34,30.0,7.33,1.0,0.453,0.7,0.45,0.57,0.707,0.138,0.552,0.635,orange
2025-01-17 07:25:03,normal,30.98,49.9,26.44,0.444,1.73,1.12,0.017,2.97,5.5,0.28,0.293,0.19,0.7,0.15,0.296,0.584,0.659,0.513,0.148,green
2025-01-17 07:25:06,normal,33.62,42.3,27.55,0.555,2.15,0.53,0.094,2.05,5.9,0.0,0.279,0.386,0.7,0.15,0.48,0.267,0.357,0.349,0.086,green
2025-01-17 07:25:09,morning_rush,42.07,25.9,30.83,0.883,4.79,0.97,0.161,7.78,15.43,6.39,0.976,0.617,0.7,0.45,0.79,0.807,0.226,0.686,0.192,green
2025-01-17 07:25:12,morning_rush,37.37,31.8,28.79,0.679,3.39,0.29,0.237,1.6,23.58,5.92,0.723,0.657,0.7,0.45,0.949,0.944,0.332,0.823,0.628,orange
2025-01-17 07:25:15,morning_rush,38.08,28.6,28.82,0.682,4.59,0.66,0.273,3.22,23.03,6.67,0.862,0.72,0.7,0.45,0.767,0.944,0.32,0.766,0.666,orange
2025-01-17 07:25:18,morning_rush,32.66,62.8,28.94,0.694,3.42,0.64,0.142,2.99,12.13,5.52,0.65,0.544,0.7,0.45,0.647,0.746,0.312,0.629,0.363,green
2025-01-17 07:25:21,morning_rush,13.21,93.3,13.26,0.0,1.61,0.05,0.267,7.32,3.91,4.56,0.564,0.503,0.7,0.45,0.517,0.646,0.022,0.483,0.424,yellow
2025-01-17 07:25:24,normal,30.63,41.7,25.46,0.346,1.15,0.74,0.102,1.03,6.73,1.91,0.246,0.231,0.7,0.15,0.12,0.309,0.301,0.25,0.452,yellow
2025-01-17 07:25:27,normal,30.04,53.0,26.02,0.402,0.99,0.71,0.169,3.16,12.24,0.52,0.362,0.256,0.7,0.15,0.054,0.332,0.225,0.227,0.279,green
2025-01-17 07:25:30,morning_rush,31.28,58.8,27.48,0.548,0.48,0.05,0.268,16.18,20.34,8.08,0.96,0.388,0.7,0.45,0.696,0.546,0.177,0.517,0.722,orange
2025-01-17 07:25:33,morning_rush,40.17,16.7,28.4,0.64,2.31,0.42,0.258,14.99,14.52,1.31,0.775,0.521,0.7,0.45,0.657,1.0,0.409,0.779,0.92,red
2025-01-17 07:25:36,normal,25.24,46.9,22.1,0.01,2.29,0.75,0.171,1.33,5.79,1.0,0.287,0.412,0.7,0.15,0.587,0.492,0.426,0.508,0.102,green
2025-01-17 07:25:39,normal,23.42,77.7,22.33,0.033,2.43,0.99,0.125,4.91,8.99,1.88,0.513,0.36,0.7,0.15,0.822,0.731,0.298,0.672,0.712,orange
2025-01-17 07:25:42,normal,44.49,35.9,33.91,1.0,1.63,1.38,0.112,2.64,4.9,1.73,0.308,0.221,0.7,0.15,0.593,0.389,0.35,0.442,0.691,orange
2025-01-17 07:25:45,normal,33.2,55.3,28.61,0.661,0.97,1.0,0.061,1.2,5.66,0.77,0.192,0.143,0.7,0.15,0.461,0.731,0.211,0.546,0.374,green
2025-01-17 07:25:48,morning_rush,35.94,39.1,28.76,0.676,3.44,0.43,0.253,6.5,9.7,2.05,0.651,0.648,0.7,0.45,0.622,0.804,0.801,0.749,0.213,green
2025-01-17 07:25:51,normal,26.78,56.9,23.87,0.187,1.92,0.59,0.075,2.15,6.52,0.68,0.299,0.337,0.7,0.15,0.292,0.395,0.223,0.33,0.204,green
2025-01-17 07:25:54,normal,32.97,46.7,27.56,0.556,0.93,0.05,0.114,1.19,7.32,0.81,0.216,0.33,0.7,0.15,0.134,0.362,0.642,0.35,0.553,yellow
2025-01-17 07:25:57,morning_rush,22.53,48.1,20.24,0.0,2.91,0.05,0.233,11.13,16.92,7.94,1.0,0.637,0.7,0.45,0.875,0.604,0.108,0.586,0.494,yellow
2025-01-17 07:26:00,normal,28.02,48.4,24.18,0.218,1.74,0.3,0.131,2.23,2.43,1.23,0.246,0.396,0.7,0.15,0.048,0.516,0.416,0.356,0.704,orange
2025-01-17 07:26:03,normal,36.11,32.1,28.03,0.603,1.39,0.87,0.103,0.7,3.02,0.8,0.159,0.241,0.7,0.15,0.288,0.61,0.373,0.466,0.139,green
