timestamp,phase,temp_c,rh,THI_raw,THI,density_p_m2,speed_mps,speed_var,push_rate,shout_rate,near_falls,CAI,CDI,TI,EI,ATI,SNI,PCI,BI,Risk,RiskExtended,Alert
2025-01-08 00:00:00,pre_event,10.29,91.8,10.48,0.0,1.11,0.95,0.034,0.83,0.78,0.24,0.096,0.15,0.2,0.2,0.072,0.245,0.786,0.301,0.143,0.206,green
2025-01-08 00:05:00,pre_event,13.41,92.4,13.45,0.0,1.0,1.08,0.031,0.5,1.1,0.4,0.086,0.114,0.2,0.2,0.242,0.317,0.76,0.383,0.133,0.233,green
2025-01-08 00:10:00,pre_event,14.67,88.6,14.66,0.0,1.11,0.87,0.04,0.27,0.65,0.35,0.075,0.167,0.2,0.2,0.159,0.242,0.662,0.301,0.143,0.206,green
2025-01-08 00:15:00,pre_event,16.88,70.6,16.5,0.0,0.81,0.93,0.023,0.33,0.62,0.09,0.055,0.118,0.2,0.2,0.128,0.3,0.733,0.335,0.128,0.211,green
2025-01-08 00:20:00,pre_event,16.52,84.7,16.35,0.0,1.37,1.09,0.026,0.6,1.16,0.25,0.11,0.156,0.2,0.2,0.212,0.367,0.635,0.374,0.147,0.238,green
2025-01-08 00:25:00,pre_event,17.92,71.7,17.39,0.0,0.69,1.06,0.027,0.63,1.34,0.11,0.075,0.091,0.2,0.2,0.218,0.25,0.729,0.336,0.126,0.21,green
2025-01-08 00:30:00,pre_event,14.32,86.8,14.34,0.0,0.7,0.91,0.024,0.55,0.16,0.25,0.058,0.115,0.2,0.2,0.096,0.421,0.589,0.357,0.128,0.22,green
2025-01-08 00:35:00,pre_event,14.84,84.6,14.81,0.0,1.13,1.11,0.046,0.28,0.29,0.23,0.068,0.133,0.2,0.2,0.227,0.101,0.683,0.255,0.134,0.183,green
2025-01-08 00:40:00,pre_event,17.13,79.8,16.84,0.0,1.23,1.0,0.034,0.68,0.52,0.05,0.089,0.158,0.2,0.2,0.311,0.176,0.47,0.275,0.144,0.196,green
2025-01-08 00:45:00,pre_event,13.59,80.7,13.69,0.0,0.96,1.03,0.032,0.81,1.08,0.18,0.09,0.119,0.2,0.2,0.218,0.311,0.873,0.396,0.135,0.239,green
2025-01-08 00:50:00,pre_event,15.66,81.4,15.54,0.0,0.77,1.0,0.024,0.21,0.21,0.12,0.044,0.106,0.2,0.2,0.152,0.271,0.709,0.323,0.123,0.203,green
2025-01-08 00:55:00,pre_event,15.18,71.6,15.08,0.0,0.98,1.14,0.031,0.6,0.74,0.1,0.075,0.102,0.2,0.2,0.002,0.255,0.732,0.274,0.128,0.187,green
2025-01-08 01:00:00,pre_event,11.79,83.2,12.04,0.0,0.93,1.19,0.031,1.01,0.57,0.29,0.092,0.09,0.2,0.2,0.335,0.184,0.613,0.315,0.129,0.203,green
2025-01-08 01:05:00,pre_event,18.39,68.1,17.71,0.0,1.24,1.08,0.045,0.5,1.5,0.18,0.1,0.151,0.2,0.2,0.074,0.272,0.89,0.336,0.144,0.221,green
2025-01-08 01:10:00,pre_event,14.71,75.1,14.68,0.0,1.03,0.89,0.012,0.0,1.62,0.04,0.065,0.137,0.2,0.2,0.325,0.303,0.68,0.385,0.134,0.235,green
2025-01-08 01:15:00,pre_event,16.68,74.1,16.37,0.0,0.79,1.16,0.015,0.59,1.28,0.17,0.078,0.075,0.2,0.2,0.271,0.347,0.764,0.408,0.123,0.237,green
2025-01-08 01:20:00,pre_event,15.23,81.7,15.16,0.0,1.02,1.04,0.043,0.63,0.67,0.23,0.081,0.13,0.2,0.2,0.21,0.377,0.65,0.382,0.136,0.234,green
2025-01-08 01:25:00,pre_event,19.23,68.7,18.42,0.0,1.23,0.71,0.019,0.98,1.23,0.11,0.113,0.198,0.2,0.2,0.254,0.494,0.722,0.468,0.157,0.281,green
2025-01-08 01:30:00,pre_event,13.46,86.8,13.54,0.0,0.69,0.92,0.032,0.79,0.92,0.17,0.076,0.119,0.2,0.2,0.179,0.346,0.46,0.319,0.132,0.207,green
2025-01-08 01:35:00,pre_event,15.08,85.0,15.03,0.0,1.08,0.89,0.04,0.31,1.29,0.29,0.082,0.161,0.2,0.2,0.266,0.349,0.683,0.391,0.143,0.242,green
2025-01-08 01:40:00,pre_event,20.89,70.1,19.84,0.0,1.14,1.04,0.042,0.39,1.55,0.14,0.089,0.144,0.2,0.2,0.236,0.228,0.79,0.343,0.14,0.221,green
2025-01-08 01:45:00,pre_event,19.49,59.8,18.38,0.0,0.9,0.99,0.035,0.25,0.76,0.32,0.065,0.125,0.2,0.2,0.209,0.334,0.608,0.351,0.132,0.22,green
2025-01-08 01:50:00,pre_event,15.73,83.8,15.62,0.0,0.67,1.13,0.01,0.0,1.33,0.36,0.056,0.069,0.2,0.2,0.284,0.279,0.775,0.38,0.117,0.222,green
2025-01-08 01:55:00,pre_event,16.78,79.6,16.53,0.0,0.86,1.08,0.033,0.37,0.44,0.18,0.059,0.104,0.2,0.2,0.094,0.331,0.702,0.334,0.126,0.209,green
2025-01-08 02:00:00,pre_event,16.77,80.2,16.52,0.0,1.04,0.93,0.039,0.56,1.3,0.02,0.083,0.149,0.4,0.2,0.148,0.466,0.556,0.388,0.183,0.265,green
2025-01-08 02:05:00,pre_event,19.88,68.8,18.96,0.0,1.09,1.14,0.024,0.03,1.16,0.13,0.065,0.11,0.4,0.2,0.22,0.373,0.702,0.393,0.172,0.26,green
2025-01-08 02:10:00,pre_event,20.89,65.4,19.67,0.0,0.63,1.04,0.03,0.46,0.99,0.0,0.057,0.092,0.4,0.2,0.457,0.322,0.612,0.42,0.166,0.268,green
2025-01-08 02:15:00,pre_event,21.48,72.8,20.43,0.0,1.11,0.78,0.014,0.62,1.89,0.12,0.101,0.167,0.4,0.2,0.225,0.617,0.599,0.496,0.191,0.313,green
2025-01-08 02:20:00,pre_event,17.88,72.0,17.36,0.0,0.52,0.99,0.037,0.94,0.96,0.09,0.074,0.095,0.4,0.2,0.273,0.247,0.799,0.365,0.17,0.248,green
2025-01-08 02:25:00,pre_event,20.23,75.2,19.45,0.0,0.98,0.88,0.024,0.0,2.51,0.24,0.082,0.141,0.4,0.2,0.336,0.39,0.616,0.419,0.181,0.277,green
2025-01-08 02:30:00,pre_event,19.89,67.1,18.92,0.0,0.95,1.03,0.043,0.55,0.68,0.19,0.074,0.125,0.4,0.2,0.368,0.293,0.926,0.442,0.176,0.283,green
2025-01-08 02:35:00,pre_event,17.56,79.1,17.21,0.0,0.86,1.1,0.043,0.38,1.14,0.18,0.07,0.107,0.4,0.2,0.371,0.378,0.734,0.447,0.172,0.282,green
2025-01-08 02:40:00,pre_event,19.54,69.8,18.71,0.0,0.87,0.88,0.026,0.64,0.65,0.19,0.074,0.135,0.4,0.2,0.151,0.409,0.384,0.327,0.179,0.238,green
2025-01-08 02:45:00,pre_event,21.51,60.6,19.99,0.0,0.9,1.04,0.034,0.49,1.32,0.43,0.086,0.115,0.4,0.2,0.252,0.163,0.765,0.31,0.176,0.23,green
2025-01-08 02:50:00,pre_event,21.55,69.7,20.38,0.0,0.83,1.22,0.045,0.8,2.43,0.19,0.105,0.089,0.4,0.2,0.103,0.165,0.857,0.285,0.174,0.219,green
2025-01-08 02:55:00,pre_event,17.42,64.0,16.84,0.0,1.17,1.16,0.029,0.0,1.21,0.26,0.074,0.121,0.4,0.2,0.13,0.373,0.713,0.368,0.176,0.253,green
2025-01-08 03:00:00,pre_event,19.39,64.1,18.43,0.0,1.16,1.07,0.043,0.37,1.0,0.29,0.086,0.142,0.8,0.2,0.187,0.268,0.778,0.346,0.269,0.299,green
2025-01-08 03:05:00,pre_event,20.73,65.1,19.53,0.0,0.94,1.08,0.038,0.0,0.87,0.23,0.055,0.113,0.8,0.2,0.158,0.318,0.617,0.33,0.256,0.286,green
2025-01-08 03:10:00,pre_event,20.55,65.4,19.4,0.0,0.88,1.07,0.045,1.03,0.65,0.12,0.088,0.114,0.8,0.2,0.112,0.417,0.744,0.391,0.263,0.314,green
2025-01-08 03:15:00,pre_event,20.05,65.3,18.99,0.0,1.31,0.92,0.039,0.63,1.03,0.28,0.106,0.183,0.8,0.2,0.22,0.236,0.773,0.338,0.282,0.304,green
2025-01-08 03:20:00,pre_event,19.98,59.7,18.76,0.0,1.13,0.89,0.035,1.19,1.23,0.27,0.119,0.164,0.8,0.2,0.042,0.253,0.495,0.238,0.28,0.263,green
2025-01-08 03:25:00,pre_event,18.72,78.2,18.21,0.0,1.08,0.95,0.01,0.6,2.15,0.44,0.112,0.133,0.8,0.2,0.2,0.224,0.649,0.302,0.272,0.284,green
2025-01-08 03:30:00,pre_event,19.97,71.8,19.12,0.0,0.83,1.08,0.055,0.61,0.54,0.09,0.066,0.115,0.8,0.2,0.358,0.205,0.542,0.318,0.259,0.283,green
2025-01-08 03:35:00,pre_event,18.7,72.9,18.08,0.0,0.97,0.89,0.028,0.31,1.43,0.1,0.073,0.141,0.8,0.2,0.129,0.255,0.615,0.289,0.266,0.275,green
2025-01-08 03:40:00,pre_event,19.17,69.3,18.38,0.0,0.75,1.09,0.02,0.58,0.21,0.03,0.055,0.087,0.8,0.2,0.19,0.214,0.689,0.302,0.25,0.271,green
2025-01-08 03:45:00,pre_event,20.6,58.5,19.21,0.0,1.23,0.98,0.016,0.69,1.39,0.2,0.106,0.149,0.8,0.2,0.274,0.172,0.729,0.314,0.274,0.29,green
2025-01-08 03:50:00,pre_event,19.67,68.7,18.78,0.0,1.04,0.91,0.019,0.44,1.3,0.3,0.086,0.139,0.8,0.2,0.031,0.357,0.584,0.305,0.268,0.283,green
2025-01-08 03:55:00,pre_event,22.86,59.4,21.0,0.0,0.77,0.97,0.032,0.52,1.77,0.15,0.081,0.116,0.8,0.2,0.084,0.252,0.722,0.296,0.262,0.275,green
2025-01-08 04:00:00,pre_event,21.24,68.6,20.08,0.0,1.25,0.89,0.042,0.71,0.32,0.07,0.089,0.184,1.0,0.2,0.0,0.307,0.741,0.302,0.322,0.314,green
2025-01-08 04:05:00,pre_event,22.53,61.7,20.84,0.0,0.81,1.09,0.036,0.0,0.32,0.12,0.039,0.1,1.0,0.2,0.354,0.293,0.639,0.381,0.293,0.328,green
2025-01-08 04:10:00,pre_event,20.17,75.9,19.42,0.0,1.12,1.04,0.04,1.01,1.17,0.22,0.109,0.141,1.0,0.2,0.389,0.422,0.784,0.484,0.316,0.383,green
2025-01-08 04:15:00,pre_event,18.74,75.4,18.16,0.0,1.21,0.93,0.03,0.35,0.94,0.28,0.087,0.165,1.0,0.2,0.222,0.192,0.822,0.327,0.317,0.321,green
2025-01-08 04:20:00,pre_event,20.92,73.3,19.98,0.0,1.27,1.1,0.022,0.54,1.01,0.23,0.098,0.138,1.0,0.2,0.286,0.253,0.801,0.373,0.313,0.337,green
2025-01-08 04:25:00,pre_event,20.99,70.3,19.93,0.0,0.97,0.96,0.03,0.31,0.66,0.26,0.066,0.13,1.0,0.2,0.061,0.453,0.801,0.405,0.305,0.345,green
2025-01-08 04:30:00,pre_event,23.29,70.6,21.87,0.0,1.37,1.19,0.03,0.42,0.82,0.26,0.097,0.14,1.0,0.2,0.141,0.242,0.622,0.287,0.313,0.303,green
2025-01-08 04:35:00,pre_event,22.03,69.9,20.78,0.0,0.92,0.88,0.023,0.38,1.04,0.05,0.067,0.137,1.0,0.2,0.2,0.222,0.508,0.272,0.307,0.293,green
2025-01-08 04:40:00,pre_event,24.35,61.3,22.25,0.025,0.9,0.96,0.048,0.54,1.22,0.22,0.08,0.135,1.0,0.2,0.315,0.066,0.772,0.282,0.312,0.3,green
2025-01-08 04:45:00,pre_event,24.33,54.8,21.89,0.0,0.7,0.77,0.039,0.33,1.64,0.04,0.065,0.148,1.0,0.2,0.295,0.38,0.734,0.425,0.309,0.356,green
2025-01-08 04:50:00,pre_event,24.0,55.1,21.65,0.0,0.72,0.88,0.015,0.46,0.46,0.22,0.059,0.116,1.0,0.2,0.17,0.218,0.555,0.271,0.301,0.289,green
2025-01-08 04:55:00,pre_event,21.42,61.2,19.94,0.0,0.98,1.0,0.038,0.33,1.05,0.14,0.07,0.129,1.0,0.2,0.175,0.347,0.688,0.364,0.306,0.329,green
2025-01-08 05:00:00,pre_event,20.95,70.8,19.92,0.0,1.31,0.79,0.041,0.82,2.01,0.16,0.125,0.207,1.0,0.2,0.061,0.451,0.725,0.389,0.334,0.356,green
2025-01-08 05:05:00,pre_event,20.68,72.7,19.75,0.0,0.88,1.02,0.033,0.39,1.04,0.04,0.065,0.117,1.0,0.2,0.127,0.357,0.664,0.349,0.302,0.321,green
2025-01-08 05:10:00,pre_event,22.55,59.4,20.75,0.0,0.73,1.01,0.035,0.35,0.53,0.6,0.067,0.108,1.0,0.2,0.227,0.355,0.797,0.405,0.3,0.342,green
2025-01-08 05:15:00,pre_event,24.61,69.8,22.93,0.093,1.13,1.05,0.04,0.64,1.04,0.2,0.093,0.141,1.0,0.2,0.097,0.25,0.61,0.276,0.325,0.305,green
2025-01-08 05:20:00,pre_event,22.73,63.2,21.07,0.0,0.76,0.84,0.033,0.66,1.03,0.21,0.077,0.138,1.0,0.2,0.355,0.341,0.611,0.399,0.309,0.345,green
2025-01-08 05:25:00,pre_event,23.71,60.8,21.72,0.0,1.1,0.96,0.041,0.67,1.2,0.34,0.099,0.152,1.0,0.2,0.227,0.247,0.591,0.31,0.316,0.314,green
2025-01-08 05:30:00,pre_event,25.33,55.5,22.68,0.068,0.83,0.78,0.032,0.8,0.73,0.36,0.085,0.152,1.0,0.2,0.334,0.246,0.731,0.369,0.323,0.341,green
2025-01-08 05:35:00,pre_event,20.22,64.9,19.11,0.0,1.1,0.95,0.031,1.1,1.53,0.4,0.123,0.148,1.0,0.2,0.359,0.266,0.782,0.397,0.32,0.351,green
2025-01-08 05:40:00,pre_event,23.18,55.8,21.06,0.0,1.03,0.97,0.041,0.55,2.28,0.23,0.102,0.141,1.0,0.2,0.148,0.237,0.657,0.295,0.315,0.307,green
2025-01-08 05:45:00,pre_event,22.28,59.2,20.53,0.0,1.06,0.94,0.033,0.32,0.11,0.24,0.063,0.146,1.0,0.2,0.222,0.383,0.717,0.401,0.308,0.346,green
2025-01-08 05:50:00,pre_event,24.76,69.4,23.03,0.103,0.68,0.94,0.028,0.0,0.52,0.19,0.039,0.111,1.0,0.2,0.303,0.029,0.736,0.253,0.309,0.287,green
2025-01-08 05:55:00,pre_event,21.46,67.5,20.22,0.0,1.3,0.99,0.026,0.56,1.84,0.19,0.112,0.164,1.0,0.2,0.064,0.211,0.728,0.27,0.322,0.301,green
2025-01-08 06:00:00,pre_event,22.33,67.9,20.95,0.0,1.26,0.96,0.045,0.46,0.73,0.15,0.088,0.175,0.8,0.2,0.172,0.195,0.637,0.276,0.276,0.276,green
2025-01-08 06:05:00,pre_event,21.65,67.0,20.35,0.0,1.05,0.95,0.033,0.2,0.39,0.24,0.062,0.144,0.8,0.2,0.211,0.245,0.632,0.312,0.265,0.284,green
2025-01-08 06:10:00,pre_event,20.79,57.9,19.33,0.0,1.17,1.01,0.039,0.93,0.92,0.31,0.108,0.152,0.8,0.2,0.331,0.24,0.8,0.379,0.275,0.317,green
2025-01-08 06:15:00,pre_event,22.79,71.0,21.47,0.0,0.67,0.93,0.022,0.88,1.28,0.16,0.084,0.108,0.8,0.2,0.283,0.278,0.413,0.307,0.261,0.279,green
2025-01-08 06:20:00,pre_event,25.25,62.0,23.01,0.101,0.85,1.0,0.029,0.54,0.33,0.11,0.061,0.115,0.8,0.2,0.116,0.238,0.722,0.298,0.271,0.282,green
2025-01-08 06:25:00,pre_event,21.66,64.2,20.25,0.0,0.76,1.01,0.032,0.61,1.03,0.24,0.076,0.109,0.8,0.2,0.191,0.348,0.806,0.392,0.259,0.312,green
2025-01-08 06:30:00,pre_event,25.89,60.9,23.44,0.144,0.91,0.95,0.028,0.57,0.79,0.3,0.078,0.127,0.8,0.2,0.329,0.326,0.784,0.419,0.282,0.337,green
2025-01-08 06:35:00,pre_event,25.59,65.5,23.48,0.148,1.31,1.02,0.04,0.44,1.04,0.19,0.095,0.167,0.8,0.2,0.205,0.246,0.699,0.324,0.295,0.307,green
2025-01-08 06:40:00,pre_event,25.67,64.1,23.46,0.146,1.15,0.98,0.031,0.34,1.51,0.14,0.088,0.15,0.8,0.2,0.052,0.175,0.547,0.213,0.29,0.259,green
2025-01-08 06:45:00,pre_event,20.17,71.1,19.27,0.0,0.97,0.8,0.02,0.28,0.63,0.26,0.065,0.151,0.8,0.2,0.212,0.374,0.665,0.384,0.267,0.314,green
2025-01-08 06:50:00,pre_event,22.48,58.8,20.68,0.0,1.01,1.03,0.038,0.54,1.11,0.16,0.081,0.127,0.8,0.2,0.206,0.364,0.665,0.377,0.264,0.309,green
2025-01-08 06:55:00,pre_event,24.07,63.7,22.16,0.016,1.03,1.11,0.023,0.72,0.0,0.14,0.072,0.107,0.8,0.2,0.224,0.435,0.675,0.42,0.26,0.324,green
2025-01-08 07:00:00,pre_event,22.24,65.3,20.76,0.0,1.32,1.09,0.018,0.49,0.55,0.19,0.091,0.144,1.0,0.2,0.204,0.243,0.527,0.288,0.313,0.303,green
2025-01-08 07:05:00,pre_event,21.22,68.6,20.06,0.0,0.89,0.91,0.037,0.29,1.0,0.17,0.065,0.138,1.0,0.2,0.073,0.345,0.602,0.315,0.307,0.31,green
2025-01-08 07:10:00,pre_event,20.59,65.2,19.42,0.0,1.0,1.14,0.028,0.41,1.58,0.25,0.085,0.103,1.0,0.2,0.155,0.158,0.711,0.268,0.303,0.289,green
2025-01-08 07:15:00,pre_event,22.53,64.3,20.96,0.0,1.19,0.91,0.035,0.67,1.25,0.23,0.102,0.168,1.0,0.2,0.215,0.213,0.82,0.335,0.321,0.326,green
2025-01-08 07:20:00,pre_event,24.31,61.4,22.23,0.023,0.93,0.92,0.026,0.32,1.03,0.3,0.072,0.131,1.0,0.2,0.197,0.344,0.732,0.378,0.31,0.337,green
2025-01-08 07:25:00,pre_event,21.85,65.1,20.44,0.0,1.2,1.17,0.032,0.67,0.63,0.24,0.094,0.124,1.0,0.2,0.252,0.416,0.752,0.434,0.309,0.359,green
2025-01-08 07:30:00,pre_event,22.18,55.3,20.29,0.0,0.7,1.01,0.026,0.64,1.56,0.18,0.081,0.101,1.0,0.2,0.386,0.322,0.744,0.426,0.301,0.351,green
2025-01-08 07:35:00,pre_event,25.69,65.2,23.55,0.155,1.2,0.85,0.013,0.44,1.15,0.29,0.093,0.167,1.0,0.2,0.195,0.155,0.585,0.253,0.339,0.305,green
2025-01-08 07:40:00,pre_event,21.94,69.3,20.69,0.0,1.18,0.94,0.029,0.35,1.08,0.4,0.091,0.158,1.0,0.2,0.247,0.21,0.776,0.334,0.316,0.324,green
2025-01-08 07:45:00,pre_event,22.9,66.7,21.36,0.0,0.97,0.97,0.019,0.59,1.66,0.18,0.09,0.122,1.0,0.2,0.35,0.322,0.909,0.448,0.308,0.364,green
2025-01-08 07:50:00,pre_event,21.6,66.7,20.3,0.0,1.14,1.01,0.014,0.33,0.68,0.24,0.076,0.132,1.0,0.2,0.2,0.253,0.94,0.374,0.308,0.334,green
2025-01-08 07:55:00,pre_event,21.49,67.6,20.24,0.0,1.13,0.93,0.024,0.61,1.09,0.17,0.091,0.15,1.0,0.2,0.202,0.221,0.584,0.288,0.315,0.304,green
2025-01-08 08:00:00,pre_event,19.76,64.9,18.74,0.0,0.74,0.96,0.01,0.33,1.35,0.29,0.07,0.102,0.8,0.2,0.422,0.367,0.769,0.464,0.257,0.339,green
2025-01-08 08:05:00,pre_event,25.47,61.8,23.16,0.116,0.89,1.17,0.032,0.09,1.32,0.04,0.058,0.09,0.8,0.2,0.252,0.34,0.789,0.403,0.267,0.321,green
2025-01-08 08:10:00,pre_event,20.81,62.1,19.5,0.0,0.95,0.96,0.025,0.59,0.49,0.11,0.07,0.126,0.8,0.2,0.095,0.401,0.686,0.366,0.262,0.304,green
2025-01-08 08:15:00,pre_event,23.22,63.3,21.46,0.0,1.37,0.86,0.032,0.53,1.29,0.22,0.108,0.197,0.8,0.2,0.24,0.361,0.795,0.412,0.285,0.336,green
2025-01-08 08:20:00,pre_event,22.75,71.1,21.44,0.0,1.06,0.96,0.036,0.22,1.64,0.13,0.079,0.145,0.8,0.2,0.306,0.349,0.611,0.389,0.268,0.316,green
2025-01-08 08:25:00,pre_event,23.13,64.5,21.44,0.0,0.93,1.12,0.035,0.43,1.72,0.37,0.089,0.105,0.8,0.2,0.364,0.137,1.0,0.378,0.261,0.308,green
2025-01-08 08:30:00,pre_event,20.77,68.8,19.69,0.0,1.23,1.01,0.045,0.52,1.08,0.14,0.093,0.162,0.8,0.2,0.066,0.434,0.679,0.373,0.275,0.314,green
2025-01-08 08:35:00,pre_event,22.22,71.2,21.0,0.0,1.26,1.2,0.04,0.34,1.37,0.0,0.088,0.132,0.8,0.2,0.17,0.255,0.65,0.308,0.267,0.283,green
2025-01-08 08:40:00,pre_event,22.88,63.7,21.21,0.0,1.13,0.91,0.035,0.05,1.83,0.15,0.08,0.161,0.8,0.2,0.108,0.286,0.783,0.332,0.272,0.296,green
2025-01-08 08:45:00,pre_event,21.15,69.4,20.03,0.0,0.74,0.95,0.021,0.24,0.37,0.35,0.054,0.11,0.8,0.2,0.067,0.192,0.681,0.252,0.255,0.254,green
2025-01-08 08:50:00,pre_event,20.94,64.6,19.69,0.0,1.03,0.98,0.029,0.0,1.85,0.29,0.076,0.134,0.8,0.2,0.342,0.179,0.731,0.339,0.265,0.295,green
2025-01-08 08:55:00,pre_event,21.58,67.7,20.32,0.0,0.84,1.14,0.026,0.88,1.15,0.37,0.095,0.089,0.8,0.2,0.197,0.376,0.683,0.384,0.259,0.309,green
2025-01-08 09:00:00,pre_event,20.12,78.2,19.45,0.0,0.59,1.07,0.02,0.12,0.07,0.01,0.028,0.077,1.0,0.2,0.077,0.414,0.605,0.351,0.286,0.312,green
2025-01-08 09:05:00,pre_event,22.82,75.5,21.7,0.0,0.83,1.13,0.028,0.24,1.02,0.23,0.063,0.091,1.0,0.2,0.107,0.156,0.608,0.232,0.296,0.27,green
2025-01-08 09:10:00,pre_event,20.58,69.9,19.57,0.0,1.0,1.09,0.017,0.16,1.17,0.2,0.067,0.103,1.0,0.2,0.195,0.347,0.722,0.377,0.299,0.33,green
2025-01-08 09:15:00,pre_event,21.49,74.4,20.5,0.0,1.1,1.05,0.056,0.29,0.45,0.18,0.068,0.147,1.0,0.2,0.035,0.394,0.815,0.371,0.309,0.334,green
2025-01-08 09:20:00,pre_event,22.82,69.9,21.45,0.0,1.25,1.01,0.033,0.92,1.0,0.2,0.111,0.158,1.0,0.2,0.284,0.156,0.691,0.301,0.32,0.313,green
2025-01-08 09:25:00,pre_event,17.01,76.8,16.69,0.0,0.82,0.86,0.044,0.19,0.87,0.0,0.052,0.145,1.0,0.2,0.216,0.306,0.861,0.39,0.306,0.34,green
2025-01-08 09:30:00,pre_event,18.45,76.9,17.95,0.0,1.0,1.12,0.056,0.81,0.7,0.36,0.092,0.123,1.0,0.2,0.198,0.342,0.781,0.386,0.309,0.34,green
2025-01-08 09:35:00,pre_event,16.73,81.0,16.5,0.0,1.11,0.96,0.032,0.37,0.6,0.21,0.075,0.149,1.0,0.2,0.165,0.221,0.7,0.3,0.311,0.307,green
2025-01-08 09:40:00,pre_event,18.81,75.9,18.24,0.0,1.23,1.02,0.028,0.07,0.72,0.26,0.073,0.15,1.0,0.2,0.05,0.304,0.637,0.294,0.311,0.304,green
2025-01-08 09:45:00,pre_event,21.0,73.3,20.04,0.0,0.96,0.95,0.031,0.0,1.58,0.2,0.066,0.132,1.0,0.2,0.187,0.317,0.69,0.353,0.306,0.324,green
2025-01-08 09:50:00,pre_event,18.76,71.8,18.1,0.0,1.02,1.04,0.015,0.39,0.42,0.14,0.065,0.113,1.0,0.2,0.227,0.231,0.704,0.324,0.301,0.311,green
2025-01-08 09:55:00,pre_event,22.43,70.6,21.15,0.0,0.77,1.16,0.022,0.35,1.5,0.14,0.07,0.078,1.0,0.2,0.046,0.305,0.546,0.275,0.294,0.287,green
2025-01-08 10:00:00,pre_event,19.96,71.0,19.09,0.0,0.79,1.04,0.015,0.48,0.66,0.12,0.062,0.095,0.2,0.2,0.223,0.278,0.68,0.342,0.124,0.211,green
2025-01-08 10:05:00,pre_event,17.89,69.7,17.32,0.0,1.61,0.92,0.051,0.45,0.87,0.17,0.112,0.228,0.2,0.2,0.225,0.357,0.751,0.396,0.164,0.257,green
2025-01-08 10:10:00,pre_event,15.81,73.5,15.62,0.0,0.55,1.07,0.031,0.5,0.46,0.17,0.052,0.082,0.2,0.2,0.303,0.381,0.787,0.439,0.12,0.247,green
2025-01-08 10:15:00,pre_event,16.29,81.6,16.11,0.0,0.63,0.99,0.023,0.52,0.31,0.26,0.057,0.097,0.2,0.2,0.0,0.408,0.786,0.361,0.124,0.219,green
2025-01-08 10:20:00,pre_event,20.26,71.2,19.35,0.0,1.19,0.92,0.01,0.0,1.0,0.2,0.07,0.151,0.2,0.2,0.196,0.246,0.81,0.344,0.139,0.221,green
2025-01-08 10:25:00,pre_event,16.11,73.0,15.87,0.0,0.68,0.87,0.01,0.25,1.23,0.07,0.056,0.111,0.2,0.2,0.11,0.231,0.6,0.269,0.127,0.184,green
